,VenueCategory,Count
0,Afghan Restaurant,1
1,African Restaurant,3
2,American Restaurant,10
3,Animal Shelter,1
4,Antique Shop,2
5,Aquarium,2
6,Arcade,1
7,Arepa Restaurant,1
8,Argentinian Restaurant,12
9,Art Gallery,40
10,Art Museum,8
11,Arts & Crafts Store,6
12,Asian Restaurant,21
13,Athletics & Sports,7
14,Australian Restaurant,1
15,Austrian Restaurant,1
16,BBQ Joint,4
17,Baby Store,1
18,Bagel Shop,6
19,Bakery,50
20,Bar,58
21,Bathing Area,1
22,Beach,1
23,Bed & Breakfast,2
24,Beer Bar,25
25,Beer Store,1
26,Bike Rental / Bike Share,3
27,Bike Shop,3
28,Bistro,6
29,Boat or Ferry,3
30,Bookstore,32
31,Botanical Garden,1
32,Boutique,22
33,Bowling Alley,1
34,Boxing Gym,4
35,Brasserie,2
36,Brazilian Restaurant,2
37,Breakfast Spot,20
38,Brewery,11
39,Bubble Tea Shop,1
40,Buffet,1
41,Building,5
42,Burger Joint,46
43,Burrito Place,5
44,Bus Station,3
45,Bus Stop,16
46,Butcher,1
47,Café,162
48,Camera Store,4
49,Canal,5
50,Canal Lock,4
51,Candy Store,4
52,Cantonese Restaurant,5
53,Caribbean Restaurant,2
54,Casino,1
55,Castle,2
56,Caucasian Restaurant,2
57,Cemetery,1
58,Champagne Bar,5
59,Cheese Shop,7
60,Chinese Restaurant,31
61,Chocolate Shop,16
62,Church,2
63,Churrascaria,1
64,Climbing Gym,2
65,Clothing Store,29
66,Club House,1
67,Cocktail Bar,43
68,Coffee Shop,222
69,College Cafeteria,1
70,College Quad,1
71,College Residence Hall,1
72,College Science Building,1
73,Colombian Restaurant,1
74,Comedy Club,2
75,Comic Shop,2
76,Concert Hall,7
77,Convenience Store,11
78,Cosmetics Shop,13
79,Costume Shop,1
80,Creperie,4
81,Cricket Ground,3
82,Cultural Center,1
83,Cupcake Shop,9
84,Currywurst Joint,1
85,Cycle Studio,1
86,Dance Studio,10
87,Deli / Bodega,18
88,Department Store,10
89,Design Studio,1
90,Dessert Shop,17
91,Dim Sum Restaurant,4
92,Diner,4
93,Discount Store,1
94,Distillery,2
95,Donut Shop,6
96,Dry Cleaner,1
97,Dumpling Restaurant,1
98,Eastern European Restaurant,1
99,Electronics Store,2
100,Empanada Restaurant,1
101,English Restaurant,24
102,Escape Room,3
103,Ethiopian Restaurant,3
104,Event Service,1
105,Event Space,7
106,Exhibit,10
107,Fabric Shop,1
108,Falafel Restaurant,9
109,Farm,1
110,Farmers Market,6
111,Fast Food Restaurant,14
112,Film Studio,2
113,Fish & Chips Shop,15
114,Fish Market,3
115,Flea Market,3
116,Flower Shop,4
117,Food,2
118,Food & Drink Shop,4
119,Food Court,5
120,Food Stand,3
121,Food Truck,23
122,Fountain,8
123,French Restaurant,56
124,Fried Chicken Joint,6
125,Frozen Yogurt Shop,3
126,Fruit & Vegetable Store,3
127,Furniture / Home Store,8
128,Garden,49
129,Garden Center,2
130,Gastropub,28
131,Gay Bar,8
132,Gelato Shop,3
133,General Entertainment,2
134,German Restaurant,1
135,Gift Shop,14
136,Gourmet Shop,10
137,Greek Restaurant,17
138,Grocery Store,48
139,Gym,19
140,Gym / Fitness Center,61
141,Gym Pool,2
142,Harbor / Marina,5
143,Health & Beauty Service,1
144,Health Food Store,1
145,Himalayan Restaurant,1
146,Historic Site,10
147,History Museum,13
148,Hobby Shop,1
149,Hookah Bar,6
150,Hostel,9
151,Hot Dog Joint,1
152,Hotel,187
153,Hotel Bar,21
154,Hunan Restaurant,1
155,Ice Cream Shop,14
156,Indian Restaurant,43
157,Indie Movie Theater,5
158,Iraqi Restaurant,1
159,Irish Pub,2
160,Israeli Restaurant,1
161,Italian Restaurant,122
162,Japanese Restaurant,35
163,Jazz Club,2
164,Jewelry Store,5
165,Juice Bar,16
166,Kebab Restaurant,4
167,Kids Store,1
168,Kitchen Supply Store,1
169,Korean Restaurant,7
170,Lake,2
171,Latin American Restaurant,6
172,Lebanese Restaurant,19
173,Library,1
174,Light Rail Station,1
175,Lingerie Store,2
176,Liquor Store,3
177,Lounge,18
178,Malay Restaurant,3
179,Market,10
180,Massage Studio,1
181,Mediterranean Restaurant,14
182,Memorial Site,1
183,Men's Store,10
184,Metro Station,1
185,Mexican Restaurant,9
186,Middle Eastern Restaurant,30
187,Mini Golf,1
188,Miscellaneous Shop,1
189,Mobile Phone Shop,2
190,Modern European Restaurant,17
191,Molecular Gastronomy Restaurant,1
192,Monument / Landmark,8
193,Moroccan Restaurant,1
194,Motorcycle Shop,2
195,Movie Theater,14
196,Multiplex,1
197,Museum,15
198,Music Store,2
199,Music Venue,12
200,Nail Salon,2
201,Nature Preserve,1
202,Neighborhood,1
203,New American Restaurant,3
204,Nightclub,9
205,Noodle House,2
206,North Indian Restaurant,1
207,Office,2
208,Okonomiyaki Restaurant,1
209,Opera House,1
210,Organic Grocery,6
