,Location,Latitude,Longitude,Venue,VenueLatitude,VenueLongitude,VenueCategory
0,0,51.47691377290901,-0.15836591201689793,Battersea Park Adventure Playground,51.47608808219422,-0.1611270736965813,Playground
1,0,51.47691377290901,-0.15836591201689793,Putt In The Park Café,51.47588321328359,-0.16151127645695854,Pizza Place
2,0,51.47691377290901,-0.15836591201689793,Battersea Park,51.479512013817555,-0.1569843292236328,Park
3,0,51.47691377290901,-0.15836591201689793,Battersea Park All Weather Pitches,51.476330142500686,-0.16035933088516394,Soccer Field
4,0,51.47691377290901,-0.15836591201689793,Battersea Park Bandstand,51.4801743163381,-0.15967303605567673,Plaza
5,0,51.47691377290901,-0.15836591201689793,Captain Correlli's,51.474474553071325,-0.15521609867586925,Italian Restaurant
6,0,51.47691377290901,-0.15836591201689793,Sub-Tropical Garden,51.47756520099943,-0.1577675011278381,Garden
7,0,51.47691377290901,-0.15836591201689793,The Lost Angel,51.47426932543999,-0.15699720730497277,Bar
8,0,51.47691377290901,-0.15836591201689793,Vibes Cafe,51.474451,-0.153472,Coffee Shop
9,0,51.47691377290901,-0.15836591201689793,The Pump House Gallery,51.47905071694001,-0.15486072166632583,Art Gallery
10,0,51.47691377290901,-0.15836591201689793,Holy Cow,51.47373550330504,-0.15954434956634625,Indian Restaurant
11,0,51.47691377290901,-0.15836591201689793,Tea Terrace,51.48044238562731,-0.1588417351420163,Café
12,0,51.47691377290901,-0.15836591201689793,Battersea Car Boot Sale,51.47332777110826,-0.158173332990603,Flea Market
13,0,51.47691377290901,-0.15836591201689793,The Grove,51.47449509116482,-0.15306424867938606,Sports Bar
14,0,51.47691377290901,-0.15836591201689793,Hotel So Park,51.47425848567524,-0.15703029638349766,Hotel
15,0,51.47691377290901,-0.15836591201689793,Battersea Yoga,51.474654,-0.164141,Yoga Studio
16,0,51.47691377290901,-0.15836591201689793,Old English Garden,51.48058448016765,-0.16218738942888114,Garden
17,1,51.47656413891727,-0.143984477121397,Battersea Dogs And Cats Home,51.47839413211259,-0.14493964829943684,Animal Shelter
18,1,51.47656413891727,-0.143984477121397,Boqueria,51.476627742416206,-0.14821355035319814,Spanish Restaurant
19,1,51.47656413891727,-0.143984477121397,San Gennaro,51.476276248792544,-0.1484403637904753,Italian Restaurant
20,1,51.47656413891727,-0.143984477121397,Pho Ta,51.477359,-0.146197,Vietnamese Restaurant
21,1,51.47656413891727,-0.143984477121397,Mondo Brewing Company,51.47464317652266,-0.14004733256422544,Brewery
22,1,51.47656413891727,-0.143984477121397,The Power Station,51.47716366963355,-0.14641665715693877,Bar
23,1,51.47656413891727,-0.143984477121397,The Victoria,51.472940112394404,-0.1481125653819362,Gastropub
24,1,51.47656413891727,-0.143984477121397,Duchess Belle,51.47931261683572,-0.14250978195443237,Bar
25,1,51.47656413891727,-0.143984477121397,The Mason's Arms,51.47680255262105,-0.1469050085983099,Pub
26,1,51.47656413891727,-0.143984477121397,Loaf,51.47420380026278,-0.14735797110957768,Furniture / Home Store
27,1,51.47656413891727,-0.143984477121397,The Magic Garden,51.475313963735395,-0.15083694647043072,Bar
28,1,51.47656413891727,-0.143984477121397,New City,51.475792559644596,-0.14904408682589104,Chinese Restaurant
29,1,51.47656413891727,-0.143984477121397,Battersea Park Railway Station (BAK),51.47735352390682,-0.14755415295440627,Train Station
30,1,51.47656413891727,-0.143984477121397,Victoria,51.472929820447355,-0.14819139697112257,Pub
31,1,51.47656413891727,-0.143984477121397,Paya and Horse,51.47615596592948,-0.14880681793975908,Pub
32,1,51.47656413891727,-0.143984477121397,Booker,51.479342,-0.139382,Warehouse Store
33,2,51.476212743072885,-0.1296033327156769,A Toca,51.4753596,-0.1311737,Portuguese Restaurant
34,2,51.476212743072885,-0.1296033327156769,South Bank Club,51.47853439989353,-0.12953014478498134,Gym / Fitness Center
35,2,51.476212743072885,-0.1296033327156769,Priory Arms,51.47494468368068,-0.12826860398640674,Pub
36,2,51.476212743072885,-0.1296033327156769,Ocean Blue Fish & Chips,51.47704567075753,-0.12995488477851033,Fish & Chips Shop
37,2,51.476212743072885,-0.1296033327156769,PureGym,51.47567606794503,-0.13146296175776234,Gym / Fitness Center
38,2,51.476212743072885,-0.1296033327156769,The Cavendish Arms,51.47648929274946,-0.12753288150876338,Pub
39,2,51.476212743072885,-0.1296033327156769,Hot Stuff,51.47961154586812,-0.12648125782550543,Indian Restaurant
40,2,51.476212743072885,-0.1296033327156769,Stockwell Continental,51.477432,-0.123253,Bistro
41,2,51.476212743072885,-0.1296033327156769,Andalucia Patisserie,51.47468532433577,-0.13213230765366113,Bakery
42,2,51.476212743072885,-0.1296033327156769,LOST Theatre,51.47553526043767,-0.13150815832136906,Performing Arts Venue
43,2,51.476212743072885,-0.1296033327156769,The Canton Arms,51.47717098674605,-0.12316774827524002,Gastropub
44,2,51.476212743072885,-0.1296033327156769,O Moinho,51.475025525891176,-0.13189424083718382,Portuguese Restaurant
45,2,51.476212743072885,-0.1296033327156769,Sainsbury's,51.4805436,-0.1289779,Supermarket
46,2,51.476212743072885,-0.1296033327156769,The Coffee Lovers Cafe,51.473797,-0.13319749,Coffee Shop
47,2,51.476212743072885,-0.1296033327156769,Larkhall Park,51.473179395940335,-0.13010614495777853,Park
48,2,51.476212743072885,-0.1296033327156769,Grelha D'Ouro,51.47812472505118,-0.12340640268910619,Portuguese Restaurant
49,2,51.476212743072885,-0.1296033327156769,Starbucks,51.48056744898177,-0.12803559177452842,Coffee Shop
50,2,51.476212743072885,-0.1296033327156769,Domino's Pizza,51.47664800510897,-0.13053694985887887,Pizza Place
51,2,51.476212743072885,-0.1296033327156769,Co-op Food,51.47724210441531,-0.12319460359550939,Grocery Store
52,2,51.476212743072885,-0.1296033327156769,Bus stop M,51.47672697494158,-0.13015020227952404,Bus Stop
53,2,51.476212743072885,-0.1296033327156769,Bus Stop N (Larkhall Park),51.473348344195195,-0.1336947730207209,Bus Stop
54,2,51.476212743072885,-0.1296033327156769,Pak Hong Fish Bar,51.473354958435486,-0.13372783339530436,Fish & Chips Shop
55,2,51.476212743072885,-0.1296033327156769,Restaurante And Café- A Lua,51.472391089322414,-0.13118878995020622,Portuguese Restaurant
56,3,51.475859585459176,-0.11522248025201823,Coffee Studio 7Gr. Clapham,51.476454,-0.118023,Coffee Shop
57,3,51.475859585459176,-0.11522248025201823,The Gym,51.476470716653175,-0.11703829949858588,Gym / Fitness Center
58,3,51.475859585459176,-0.11522248025201823,Van Gogh Walk,51.47575794841629,-0.1141329196120433,Plaza
59,3,51.475859585459176,-0.11522248025201823,Cafe Van Gogh,51.477608,-0.11257935,Café
60,3,51.475859585459176,-0.11522248025201823,Horizons Gym,51.475058801657134,-0.11630326544840455,Gym
61,3,51.475859585459176,-0.11522248025201823,Adulis,51.47948554211717,-0.11170238206648013,African Restaurant
62,3,51.475859585459176,-0.11522248025201823,Lidl,51.4736636039901,-0.120809822748746,Supermarket
63,3,51.475859585459176,-0.11522248025201823,Malinka,51.47902681770693,-0.1119208256912175,Deli / Bodega
64,3,51.475859585459176,-0.11522248025201823,SW9 Sushi Bar,51.47886101697707,-0.11193032141685422,Sushi Restaurant
65,3,51.475859585459176,-0.11522248025201823,Di Lieto,51.478401659990475,-0.1123764821531861,Café
66,3,51.475859585459176,-0.11522248025201823,Serrana,51.47457231769778,-0.12022047983663452,Deli / Bodega
67,3,51.475859585459176,-0.11522248025201823,Albert Square,51.477473215027295,-0.12130032200413146,Park
68,3,51.475859585459176,-0.11522248025201823,Tesco Express,51.4760415,-0.1181768,Grocery Store
69,3,51.475859585459176,-0.11522248025201823,Bus Stop J - Albert Square,51.477045,-0.117441,Bus Stop
70,3,51.475859585459176,-0.11522248025201823,Pipoca Vegan,51.472065,-0.11278421,Vegetarian / Vegan Restaurant
71,4,51.47550466615983,-0.10084192118251438,Myatt's Fields Park,51.47388805713325,-0.10303371800784801,Park
72,4,51.47550466615983,-0.10084192118251438,TFC - Turkish Food Centre,51.47501896728962,-0.09545372575571873,Grocery Store
73,4,51.47550466615983,-0.10084192118251438,Flaxman Sports Centre,51.47160634903147,-0.09945921017580314,Gym
74,4,51.47550466615983,-0.10084192118251438,New Dewaniam,51.47618004710494,-0.09847110334968787,Indian Restaurant
75,4,51.47550466615983,-0.10084192118251438,PureGym,51.47460250204134,-0.09418292963050129,Gym / Fitness Center
76,4,51.47550466615983,-0.10084192118251438,Camberwell Daily (Premier),51.47626040759759,-0.09862365322013061,Convenience Store
77,4,51.47550466615983,-0.10084192118251438,Co-op Food,51.47814970720468,-0.10300833565426586,Grocery Store
78,4,51.47550466615983,-0.10084192118251438,Garage Canteen,51.47310883065202,-0.09938575231829633,Diner
79,4,51.47550466615983,-0.10084192118251438,Tesco Express,51.47457385234664,-0.09495824575424194,Grocery Store
80,4,51.47550466615983,-0.10084192118251438,Stereofreaks,51.47229,-0.1015,Event Service
81,4,51.47550466615983,-0.10084192118251438,Warner Road Bus Stop,51.474343790703266,-0.0939203964612604,Bus Stop
82,5,51.484865481249635,-0.16507418409030505,Chelsea Physic Garden,51.48488039278791,-0.1625579277703248,Garden
83,5,51.484865481249635,-0.16507418409030505,Restaurant Gordon Ramsay,51.485592879739315,-0.16212232187050474,French Restaurant
84,5,51.484865481249635,-0.16507418409030505,Anthropologie,51.48801219256875,-0.1666530953311291,Women's Store
85,5,51.484865481249635,-0.16507418409030505,The Ivy Chelsea Garden,51.48703516703897,-0.16937881708145142,English Restaurant
86,5,51.484865481249635,-0.16507418409030505,50 Cheyne Walk,51.483475,-0.169513,French Restaurant
87,5,51.484865481249635,-0.16507418409030505,Hagen,51.487985191371195,-0.16742883253048277,Coffee Shop
88,5,51.484865481249635,-0.16507418409030505,Ziani,51.487476922582125,-0.16457990307459833,Italian Restaurant
89,5,51.484865481249635,-0.16507418409030505,Phật Phúc Noodle Bar,51.48761963217226,-0.16904402182939238,Vietnamese Restaurant
90,5,51.484865481249635,-0.16507418409030505,The Cross Keys,51.483530859210006,-0.17041543009208643,Pub
91,5,51.484865481249635,-0.16507418409030505,Waitrose & Partners,51.48832531511091,-0.16706012462134368,Supermarket
92,5,51.484865481249635,-0.16507418409030505,La Delizia,51.48607015460627,-0.16665716380408327,Pizza Place
93,5,51.484865481249635,-0.16507418409030505,GAIL's Bakery,51.48688252060945,-0.1700624201288212,Bakery
94,5,51.484865481249635,-0.16507418409030505,L'ETO Caffè,51.4880332487987,-0.16729800062826602,Café
95,5,51.484865481249635,-0.16507418409030505,Waterstones,51.48882930154984,-0.16551167867736696,Bookstore
96,5,51.484865481249635,-0.16507418409030505,Coopers Arms,51.48623196621371,-0.16523642041093287,Pub
97,5,51.484865481249635,-0.16507418409030505,Venchi,51.489239341994235,-0.16426476718180824,Ice Cream Shop
98,5,51.484865481249635,-0.16507418409030505,The Surprise,51.486309424805505,-0.163068592447719,Pub
99,5,51.484865481249635,-0.16507418409030505,Heartcore,51.48886248521104,-0.1661496447843496,Gym / Fitness Center
100,5,51.484865481249635,-0.16507418409030505,Chelsea Gardener,51.48821340092058,-0.1693800621416454,Garden Center
101,5,51.484865481249635,-0.16507418409030505,Casa Manolo,51.48730248306333,-0.16916367800452567,Tapas Restaurant
102,5,51.484865481249635,-0.16507418409030505,Le Pain Quotidien,51.486946646919385,-0.1695987582206726,Bakery
103,5,51.484865481249635,-0.16507418409030505,Proud Chelsea,51.4879052334089,-0.16768002435992801,Art Gallery
104,5,51.484865481249635,-0.16507418409030505,My Old Dutch,51.486639616068075,-0.17103805729117072,Creperie
105,5,51.484865481249635,-0.16507418409030505,Chelsea Embankment,51.4842892931308,-0.15903353691101074,Harbor / Marina
106,5,51.484865481249635,-0.16507418409030505,Bye Bye London Kuwaiti Restuarant,51.487863,-0.167752,Restaurant
107,5,51.484865481249635,-0.16507418409030505,The Phoenix,51.48854321389111,-0.16259740608586906,Pub
108,5,51.484865481249635,-0.16507418409030505,Sticks'n'Sushi,51.48866993683235,-0.1657134159361352,Japanese Restaurant
109,5,51.484865481249635,-0.16507418409030505,The Market Place Restaurant Bar,51.48810873423576,-0.169312883102064,Burger Joint
110,5,51.484865481249635,-0.16507418409030505,Chelsea Farmers Market,51.48802390839242,-0.16955852508544922,Shopping Plaza
111,5,51.484865481249635,-0.16507418409030505,Flying Tiger,51.487832,-0.168251,Gift Shop
112,5,51.484865481249635,-0.16507418409030505,Matcha and Beyond,51.487204,-0.169352,Café
113,5,51.484865481249635,-0.16507418409030505,Five Guys,51.4882603640871,-0.16633909821325688,Burger Joint
114,5,51.484865481249635,-0.16507418409030505,Pizza Express,51.489087226490874,-0.1653810846557917,Pizza Place
115,5,51.484865481249635,-0.16507418409030505,chelsea,51.48732148475931,-0.16926659850619,Plaza
